state,county,race,cand,mean,sd,ci_95_lower,ci_95_upper
AK,020,vap_asian,pre_24_dem_har,0.5661745086707589,0.16474140815926994,0.23382022471374683,0.8407749912909699
AK,020,vap_asian,pre_24_rep_tru,0.4338254913292414,0.16474140815926994,0.15922500870903022,0.7661797752862528
AK,020,vap_aian,pre_24_dem_har,0.6998449859774312,0.12910525067294484,0.3985589231382286,0.8918466568037916
AK,020,vap_aian,pre_24_rep_tru,0.30015501402256867,0.12910525067294484,0.10815334319620859,0.6014410768617715
AK,020,vap_oth_b,pre_24_dem_har,0.5942475392546748,0.15681311289104277,0.24063010567196275,0.8476862695412513
AK,020,vap_oth_b,pre_24_rep_tru,0.4057524607453251,0.15681311289104277,0.15231373045874874,0.7593698943280368
AK,050,vap_white,pre_24_dem_har,0.4983205982272187,0.2098123325659287,0.09791172894636949,0.9000602673600728
AK,050,vap_white,pre_24_rep_tru,0.5016794017727815,0.2098123325659287,0.09993973263992703,0.9020882710536305
AK,050,vap_black,pre_24_dem_har,0.4975591825600777,0.24712424013413153,0.06374316866078607,0.9356144791437581
AK,050,vap_black,pre_24_rep_tru,0.5024408174399225,0.24712424013413153,0.06438552085624202,0.9362568313392138
AK,050,vap_hisp,pre_24_dem_har,0.49650456312697816,0.22392678538147634,0.08613820625912057,0.9166254336567596
AK,050,vap_hisp,pre_24_rep_tru,0.5034954368730218,0.22392678538147634,0.08337456634324046,0.9138617937408794
AK,050,vap_asian,pre_24_dem_har,0.49686500943091044,0.2548968148801546,0.06205379497946997,0.9457964893557641
AK,050,vap_asian,pre_24_rep_tru,0.5031349905690896,0.2548968148801546,0.05420351064423582,0.9379462050205298
AK,050,vap_aian,pre_24_dem_har,0.5994286515319275,0.043788806978417305,0.5128129495455835,0.6839271389652973
AK,050,vap_aian,pre_24_rep_tru,0.4005713484680724,0.043788806978417305,0.3160728610347028,0.48718705045441635
AK,050,vap_oth_b,pre_24_dem_har,0.4870078725731835,0.21964061680472205,0.08234673850215486,0.8957171109403357
AK,050,vap_oth_b,pre_24_rep_tru,0.5129921274268165,0.21964061680472205,0.10428288905966393,0.9176532614978451
AK,063,vap_white,pre_24_dem_har,0.4103697688365081,0.052084723361510536,0.30958433765499044,0.5112433300130323
AK,063,vap_white,pre_24_rep_tru,0.589630231163492,0.05208472336151053,0.48875666998696765,0.6904156623450096
AK,063,vap_black,pre_24_dem_har,0.493887408700793,0.24916028768503468,0.05952553219633745,0.9389093178546363
AK,063,vap_black,pre_24_rep_tru,0.5061125912992068,0.24916028768503468,0.061090682145363714,0.9404744678036622
AK,063,vap_hisp,pre_24_dem_har,0.49326535869984117,0.22344869397257291,0.08102177600783177,0.911458975115227
AK,063,vap_hisp,pre_24_rep_tru,0.5067346413001589,0.22344869397257291,0.08854102488477288,0.9189782239921683
AK,063,vap_asian,pre_24_dem_har,0.5112402710349423,0.2440558106101005,0.06757996329697874,0.9402852464629445
AK,063,vap_asian,pre_24_rep_tru,0.4887597289650578,0.2440558106101005,0.05971475353705551,0.9324200367030214
AK,063,vap_aian,pre_24_dem_har,0.49199405590228007,0.22935488669799983,0.07086952314086188,0.9266177910887683
AK,063,vap_aian,pre_24_rep_tru,0.5080059440977198,0.22935488669799983,0.07338220891123157,0.9291304768591383
AK,063,vap_oth_b,pre_24_dem_har,0.49050679968701977,0.22555912743198406,0.07241443974864846,0.9136647024197916
AK,063,vap_oth_b,pre_24_rep_tru,0.5094932003129802,0.22555912743198406,0.08633529758020837,0.9275855602513511
AK,070,vap_white,pre_24_dem_har,0.5216801634437442,0.23528876085935288,0.09070767744372814,0.9421753397204278
AK,070,vap_white,pre_24_rep_tru,0.47831983655625576,0.23528876085935288,0.05782466027957228,0.9092923225562717
AK,070,vap_black,pre_24_dem_har,0.5048650642786375,0.2564893019888735,0.05811147374303875,0.9473101451641874
AK,070,vap_black,pre_24_rep_tru,0.4951349357213623,0.2564893019888735,0.05268985483581255,0.941888526256961
AK,070,vap_hisp,pre_24_dem_har,0.48836329741643003,0.2522047179317529,0.015896749618998868,0.9310315638653262
AK,070,vap_hisp,pre_24_rep_tru,0.5116367025835703,0.2522047179317529,0.06896843613467381,0.9841032503810011
AK,070,vap_asian,pre_24_dem_har,0.5034769466426997,0.2622236127117164,0.04535084526197862,0.9544671916995665
AK,070,vap_asian,pre_24_rep_tru,0.49652305335730024,0.2622236127117164,0.04553280830043338,0.9546491547380215
AK,070,vap_aian,pre_24_dem_har,0.43979034618722085,0.07330953981140285,0.3040374998323177,0.5795958456196055
AK,070,vap_aian,pre_24_rep_tru,0.5602096538127792,0.07330953981140285,0.42040415438039447,0.6959625001676819
AK,070,vap_oth_b,pre_24_dem_har,0.5079750110439106,0.22622924446610704,0.08127982138746524,0.9264284814925714
AK,070,vap_oth_b,pre_24_rep_tru,0.49202498895608954,0.22622924446610704,0.07357151850742856,0.9187201786125347
AK,090,vap_white,pre_24_dem_har,0.3199735589124492,0.03566439265520336,0.24841271408162016,0.3882640560617075
AK,090,vap_white,pre_24_rep_tru,0.6800264410875508,0.03566439265520336,0.6117359439382927,0.7515872859183799
AK,090,vap_black,pre_24_dem_har,0.5067130444888985,0.16820460050062783,0.18651436014634795,0.8289680416242398
AK,090,vap_black,pre_24_rep_tru,0.49328695551110147,0.16820460050062783,0.17103195837576007,0.8134856398536519
AK,090,vap_hisp,pre_24_dem_har,0.49139819456380956,0.16544268644154775,0.19121081534663753,0.8172552555876856
