county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_white.pre_24_dem_har,vap_white.pre_24_rep_tru,vap_black.pre_24_dem_har,vap_black.pre_24_rep_tru,vap_hisp.pre_24_dem_har,vap_hisp.pre_24_rep_tru,vap_asian.pre_24_dem_har,vap_asian.pre_24_rep_tru,vap_aian.pre_24_dem_har,vap_aian.pre_24_rep_tru,vap_oth_b.pre_24_dem_har,vap_oth_b.pre_24_rep_tru
Alameda County,06001401100,0.9938966148432996,0.00610338515670028,0.9824718866983188,0.01752811330168115,0.982213627325494,0.01778637267450591,0.8700098566333168,0.12999014336668327,0.5891131595652203,0.41088684043477974,0.9594378521962376,0.04056214780376232,0.9934621617181454,0.00653783828185458,0.9831946664541324,0.01680533354586765,0.9402169232882922,0.05978307671170777,0.8445459381135403,0.15545406188645972,0.644387329329387,0.355612670670613,0.9665978252390588,0.03340217476094103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001401200,0.9963702074692656,0.00362979253073442,0.9816633122994854,0.01833668770051457,0.984445806295858,0.01555419370414193,0.8938274480378718,0.10617255196212812,0.5828168702678529,0.4171831297321471,0.9738540522885876,0.02614594771141241,0.9936156072481396,0.00638439275186041,0.9765799817729592,0.02342001822704077,0.9254669030129224,0.07453309698707762,0.8201390453137498,0.1798609546862502,0.6202082963624371,0.37979170363756287,0.961393243868852,0.03860675613114808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001401300,0.9905179761321262,0.0094820238678738,0.9852761169987564,0.01472388300124372,0.9846651215862916,0.01533487841370833,0.8947476070190762,0.1052523929809238,0.6033663044014854,0.3966336955985145,0.9645356134898644,0.03546438651013545,0.9862439767307156,0.01375602326928446,0.9795742113107092,0.02042578868929092,0.934765039470519,0.06523496052948091,0.8277988340897231,0.17220116591027687,0.6455228684033261,0.3544771315966739,0.9548838972130288,0.04511610278697117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001401400,0.9867988206960798,0.01320117930392017,0.9876759643044534,0.01232403569554663,0.9861928648196264,0.01380713518037354,0.8491472933537897,0.1508527066462103,0.5963687668584574,0.4036312331415426,0.961252306862692,0.03874769313730797,0.981859928161523,0.01814007183847702,0.9841071912486344,0.01589280875136572,0.9407914974947456,0.05920850250525449,0.7904963894309563,0.2095036105690436,0.6365526518957506,0.3634473481042494,0.951446508497621,0.04855349150237894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001401500,0.982371842843275,0.01762815715672511,0.9844344408008352,0.01556555919916481,0.9742420985275873,0.02575790147241271,0.7937392804580844,0.20626071954191563,0.5796880591924504,0.4203119408075496,0.9547048856483508,0.04529511435164909,0.9785734090564412,0.02142659094355896,0.981477852031124,0.01852214796887611,0.9066875258463144,0.09331247415368558,0.7337017776867184,0.2662982223132816,0.6252734735124797,0.37472652648752025,0.9444263548883648,0.0555736451116352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001401600,0.990052778771938,0.00994722122806206,0.9888355044367488,0.01116449556325122,0.9900224552799028,0.0099775447200971,0.8554738422165818,0.14452615778341818,0.6090970935711407,0.3909029064288593,0.9715065971185728,0.02849340288142732,0.984660816423776,0.01533918357622395,0.9818295229510752,0.01817047704892472,0.947294605297834,0.05270539470216592,0.782765193489769,0.21723480651023097,0.6424840006272637,0.3575159993727362,0.9581165458822318,0.04188345411776815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001401700,0.9905685896004572,0.0094314103995429,0.9863660461699644,0.01363395383003566,0.9889880177547172,0.01101198224528268,0.8709516604472726,0.12904833955272743,0.5953681375056108,0.40463186249438926,0.967248079047254,0.03275192095274595,0.9866676065396828,0.01333239346031712,0.9811960308207504,0.01880396917924954,0.9561611990007394,0.04383880099926065,0.8230032795719175,0.1769967204280825,0.6442390951447324,0.3557609048552676,0.9667052625877304,0.03329473741226961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001401800,0.9868712546477196,0.01312874535228028,0.9898943449085724,0.01010565509142769,0.9838609922880742,0.01613900771192578,0.7911443942005637,0.20885560579943635,0.5816932516725469,0.418306748327453,0.9563963218322018,0.04360367816779816,0.9713196339270396,0.02868036607296015,0.9798897573704628,0.02011024262953731,0.9026705422113138,0.09732945778868624,0.7275823619867952,0.2724176380132049,0.6298969341525774,0.37010306584742264,0.9430279798099804,0.05697202019001941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001402200,0.9930604142574682,0.00693958574253181,0.9906536337030049,0.00934636629699525,0.9926867779500006,0.0073132220499994,0.8911753551889561,0.10882464481104388,0.6052432987720712,0.3947567012279288,0.9731222868258942,0.0268777131741058,0.9805488771495106,0.01945112285048944,0.9805602741192204,0.01943972588077949,0.9447016661461802,0.05529833385381973,0.7753436066181614,0.2246563933818386,0.6303410409151495,0.36965895908485047,0.9489811636599628,0.05101883634003707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alameda County,06001402400,0.9874341221727676,0.01256587782723254,0.9925489230654924,0.00745107693450764,0.9805544878108016,0.01944551218919809,0.9008959444251924,0.09910405557480756,0.5806395759081627,0.4193604240918373,0.9635590022932464,0.03644099770675347,0.9814702822412534,0.01852971775874659,0.9884262072497002,0.0115737927502998,0.9270782819135288,0.07292171808647091,0.8380393840817519,0.16196061591824806,0.6285437765000242,0.3714562234999756,0.9590436724614476,0.04095632753855249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
