state,county,race,cand,mean,sd,ci_95_lower,ci_95_upper
AK,Bethel Census Area,vap_white,uss_16_rep_mur,0.6421675393439076,0.1220437081766372,0.3963116156814568,0.8629173521061468
AK,Bethel Census Area,vap_white,uss_16_dem_met,0.35783246065609225,0.1220437081766372,0.13708264789385288,0.6036883843185431
AK,Bethel Census Area,vap_black,uss_16_rep_mur,0.508362900387623,0.1811602606314374,0.15616181996577122,0.8325787803427435
AK,Bethel Census Area,vap_black,uss_16_dem_met,0.4916370996123768,0.1811602606314374,0.16742121965725648,0.843838180034229
AK,Bethel Census Area,vap_hisp,uss_16_rep_mur,0.5208685856731661,0.1971814063379435,0.14156808252492195,0.8691048415294466
AK,Bethel Census Area,vap_hisp,uss_16_dem_met,0.4791314143268338,0.1971814063379435,0.1308951584705535,0.8584319174750782
AK,Bethel Census Area,vap_oth,uss_16_rep_mur,0.8171068354202914,0.0126128832147489,0.7922957027045029,0.8413253748120639
AK,Bethel Census Area,vap_oth,uss_16_dem_met,0.18289316457970872,0.0126128832147489,0.15867462518793587,0.2077042972954971
AK,Bethel Census Area,vap_white,gov_18_rep_dun,0.6219634891277064,0.17082132506438838,0.2865846519360976,0.9253535524867166
AK,Bethel Census Area,vap_white,gov_18_dem_beg,0.3780365108722933,0.17082132506438838,0.07464644751328343,0.7134153480639022
AK,Bethel Census Area,vap_black,gov_18_rep_dun,0.4912823403831338,0.17656232453409693,0.1571046938558683,0.823349203915064
AK,Bethel Census Area,vap_black,gov_18_dem_beg,0.5087176596168663,0.17656232453409693,0.1766507960849359,0.842895306144132
AK,Bethel Census Area,vap_hisp,gov_18_rep_dun,0.4955873680790208,0.1878054883786047,0.1304972178303972,0.8433460905996331
AK,Bethel Census Area,vap_hisp,gov_18_dem_beg,0.5044126319209792,0.1878054883786047,0.15665390940036694,0.8695027821696028
AK,Bethel Census Area,vap_oth,gov_18_rep_dun,0.23306476876671872,0.0156181241265806,0.20387199116739244,0.2636749545006349
AK,Bethel Census Area,vap_oth,gov_18_dem_beg,0.7669352312332813,0.0156181241265806,0.736325045499365,0.7961280088326074
AK,Bethel Census Area,vap_white,pre_20_rep_tru,0.33661458170669784,0.13324198431580295,0.09125374343015322,0.6083578236801026
AK,Bethel Census Area,vap_white,pre_20_dem_bid,0.6633854182933021,0.13324198431580295,0.3916421763198975,0.9087462565698468
AK,Bethel Census Area,vap_black,pre_20_rep_tru,0.4902760556051188,0.1768277349043747,0.15690271863498012,0.8240832111101027
AK,Bethel Census Area,vap_black,pre_20_dem_bid,0.5097239443948813,0.1768277349043747,0.17591678888989745,0.8430972813650197
AK,Bethel Census Area,vap_hisp,pre_20_rep_tru,0.45952896572032487,0.1811656418125886,0.1425492268133795,0.8119159174210738
