county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid
Tangipahoa Parish,22105000123,0.9836436920902591,0.016356307909740887,0.06399570447266593,0.9360042955273341,0.5344809639928386,0.4655190360071614,0.49231371418039216,0.5076862858196078,0.46334676140338416,0.5366532385966158,0.2687624738109876,0.7312375261890124,0.981509891389386,0.01849010861061393,0.05973284690839951,0.9402671530916005,0.5180378596695359,0.48196214033046414,0.38431987544136675,0.6156801245586332,0.46840427138658836,0.5315957286134116,0.3854602938608617,0.6145397061391382
Tangipahoa Parish,22105000124,0.9919343503005627,0.008065649699437386,0.24413188774207567,0.7558681122579243,0.5741729646060802,0.4258270353939198,0.520980240144532,0.47901975985546796,0.4591248733171257,0.5408751266828743,0.31673661469804937,0.6832633853019506,0.9616821741556909,0.03831782584430911,0.05770184538963342,0.9422981546103666,0.43803516840966134,0.5619648315903386,0.36463301357541666,0.6353669864245833,0.4651318269185228,0.5348681730814773,0.34319105976726205,0.656808940232738
Tangipahoa Parish,22105000125,0.9727909312422184,0.02720906875778167,0.08427334551943978,0.91572665448056,0.6048782574791823,0.3951217425208176,0.5023910009762097,0.4976089990237903,0.46417142968039227,0.5358285703196077,0.27074215812944663,0.7292578418705533,0.9671387025318378,0.03286129746816222,0.1068963814179531,0.8931036185820469,0.5681098367690117,0.43189016323098833,0.39495750662753787,0.6050424933724621,0.46990482526445093,0.5300951747355488,0.39637591826169183,0.6036240817383082
Tangipahoa Parish,22105000127,0.9413662240653842,0.05863377593461577,0.41875180337883533,0.5812481966211647,0.5019038598686365,0.49809614013136344,0.5015676411031097,0.49843235889689036,0.46129373887106867,0.5387062611289314,0.2775681036593024,0.7224318963406976,0.951886799106714,0.04811320089328599,0.21088046827668702,0.789119531723313,0.49954186591899236,0.5004581340810076,0.38680121171149007,0.6131987882885099,0.4695873096465885,0.5304126903534114,0.383772074841625,0.616227925158375
Tangipahoa Parish,22105000129,0.8727715780060178,0.12722842199398224,0.011386263954247626,0.9886137360457524,0.4046515434101904,0.5953484565898096,0.48849014899257104,0.5115098510074287,0.4578539531958932,0.5421460468041067,0.22379052456633858,0.7762094754336615,0.9204658037316442,0.07953419626835577,0.015748516131411948,0.9842514838685881,0.47673255424010763,0.5232674457598924,0.38307654675877645,0.6169234532412236,0.47041086934521953,0.5295891306547805,0.36392659582555936,0.6360734041744406
Tangipahoa Parish,22105000133,0.9804994535608776,0.01950054643912237,0.061418768944561046,0.938581231055439,0.5355903183421042,0.4644096816578958,0.49536607603742394,0.5046339239625758,0.45260607962272087,0.5473939203772791,0.2723693481854696,0.7276306518145305,0.9821128675427284,0.017887132457271554,0.1403922531965152,0.8596077468034846,0.5501275840159284,0.4498724159840715,0.38709679592572016,0.6129032040742799,0.46857668675792746,0.5314233132420726,0.4219994789756702,0.5780005210243297
Tangipahoa Parish,22105000137,0.9764935155262772,0.023506484473722812,0.07720403076146146,0.9227959692385386,0.38846631627737904,0.611533683722621,0.488415552717597,0.5115844472824029,0.4467426726630365,0.5532573273369635,0.2148575368980283,0.7851424631019717,0.9396375198812587,0.06036248011874137,0.09130819267557488,0.9086918073244249,0.456900129890776,0.543099870109224,0.3889315696104414,0.6110684303895586,0.46567197756034806,0.5343280224396519,0.3509064311924126,0.6490935688075874
Tangipahoa Parish,22105000139,0.965558736562404,0.03444126343759596,0.0659223102432253,0.9340776897567747,0.42054932919116184,0.5794506708088382,0.4897338324528822,0.5102661675471178,0.4628904931118937,0.5371095068881063,0.2563935853964187,0.7436064146035812,0.9290889357312782,0.07091106426872185,0.04380889307800472,0.9561911069219953,0.32590406648456605,0.674095933515434,0.36268206026311467,0.6373179397368853,0.4650797437253403,0.5349202562746597,0.32438702024576577,0.6756129797542342
Tangipahoa Parish,22105000141,0.9682944570941989,0.03170554290580103,0.12242849095497613,0.8775715090450239,0.5732374132776618,0.4267625867223383,0.5102861669404657,0.4897138330595343,0.4602281436621856,0.5397718563378143,0.2983021844295805,0.7016978155704195,0.9728556480226227,0.027144351977377267,0.09651792624737801,0.903482073752622,0.5491306754821033,0.4508693245178967,0.3942234162246714,0.6057765837753286,0.46830140629517664,0.5316985937048233,0.38941303525632653,0.6105869647436735
Tangipahoa Parish,22105000143,0.9790409595676158,0.020959040432384203,0.12885611988248072,0.8711438801175193,0.5808919370250815,0.41910806297491854,0.5012899995132423,0.49871000048675773,0.4556400656806689,0.544359934319331,0.30392485293117016,0.6960751470688298,0.846451632109563,0.15354836789043708,0.05657672106412959,0.9434232789358704,0.4549298068308437,0.5450701931691563,0.3815977422176924,0.6184022577823076,0.4636498302891629,0.5363501697108372,0.35575960513407323,0.6442403948659268
Tangipahoa Parish,22105000145,0.9939458023391762,0.006054197660823889,0.24718299025046342,0.7528170097495366,0.6325466745560812,0.3674533254439188,0.5032277159466748,0.49677228405332524,0.4599645334885365,0.5400354665114633,0.3439293202506028,0.6560706797493971,0.9797850466946083,0.020214953305391723,0.04874476409202505,0.9512552359079749,0.41194444123970875,0.5880555587602913,0.36975516678313464,0.6302448332168653,0.45896907455108604,0.541030925448914,0.3070223508516457,0.6929776491483542
Tangipahoa Parish,22105000147,0.9926595889837566,0.007340411016243389,0.15295209925799044,0.8470479007420095,0.5595687069106476,0.4404312930893524,0.5011072627250119,0.49889273727498806,0.4697061160240739,0.530293883975926,0.3627863930196495,0.6372136069803505,0.9917676778301084,0.00823232216989162,0.10313228315863965,0.8968677168413604,0.5404430372411383,0.4595569627588617,0.39723933925744576,0.6027606607425543,0.4731284986497037,0.5268715013502963,0.43901901779378316,0.5609809822062168
Tangipahoa Parish,22105000149,0.9876627913841036,0.012337208615896635,0.10315200617448343,0.8968479938255166,0.42704098409120433,0.5729590159087957,0.48935093709272,0.51064906290728,0.45255841397966184,0.5474415860203382,0.22823146886390172,0.7717685311360982,0.9825574082096867,0.017442591790313523,0.07561569980508437,0.9243843001949157,0.410739599038982,0.589260400961018,0.3684603637847722,0.6315396362152278,0.46922322186430965,0.5307767781356904,0.3329635084804752,0.6670364915195248
Tangipahoa Parish,22105000151,0.9924130759355632,0.007586924064436898,0.07713454851796639,0.9228654514820336,0.45508006134904466,0.5449199386509553,0.4910560960451616,0.5089439039548385,0.4614490485889412,0.5385509514110588,0.22951012418215372,0.7704898758178462,0.9739932031021622,0.026006796897837837,0.07408937381461979,0.9259106261853802,0.4323873675760848,0.5676126324239151,0.3800372293653704,0.6199627706346296,0.45710572013333184,0.5428942798666682,0.3221665325204615,0.6778334674795385
Tangipahoa Parish,2210500040A,0.9584803329476728,0.04151966705232725,0.04028808029600116,0.9597119197039988,0.4200980846712171,0.5799019153287829,0.45835316020288847,0.5416468397971116,0.4531992174203121,0.5468007825796879,0.22889124825436266,0.7711087517456371,0.8848204809999896,0.11517951900001039,0.04450459356499806,0.955495406435002,0.45103318601139936,0.5489668139886006,0.3650637942717501,0.6349362057282498,0.46957366407249723,0.5304263359275025,0.3467031768421967,0.6532968231578032
Tangipahoa Parish,2210500042A,0.9208391359242496,0.07916086407575042,0.03797371952437382,0.9620262804756262,0.41628537170796476,0.5837146282920352,0.47408377250790795,0.525916227492092,0.44541077258453754,0.5545892274154625,0.2521028043331951,0.7478971956668049,0.7850092653958447,0.21499073460415533,0.05014667960469212,0.9498533203953079,0.44724836756254926,0.5527516324374507,0.3744924746158397,0.6255075253841603,0.4641675468081696,0.5358324531918305,0.35679899775765966,0.6432010022423403
Tangipahoa Parish,2210500045A,0.7759530597809037,0.2240469402190963,0.027901753330609125,0.9720982466693909,0.41467479917057354,0.5853252008294265,0.48237474715513684,0.5176252528448632,0.44539459290464506,0.554605407095355,0.233963340135721,0.7660366598642789,0.6888352111250776,0.3111647888749224,0.021830569987763785,0.9781694300122362,0.43604963573659555,0.5639503642634045,0.3841969229058342,0.6158030770941658,0.45845242158589994,0.5415475784141001,0.34785039581853733,0.6521496041814627
Tangipahoa Parish,2210500070A,0.8980963397916578,0.10190366020834195,0.058833012114603844,0.9411669878853962,0.4509419778838028,0.5490580221161971,0.48692255073357593,0.5130774492664241,0.44894111196473907,0.5510588880352609,0.23397025304118396,0.766029746958816,0.8785988107042434,0.12140118929575659,0.049416767681163445,0.9505832323188366,0.4654400337028917,0.5345599662971083,0.37918116997823187,0.6208188300217681,0.4702832535345247,0.5297167464654753,0.3534373150373682,0.6465626849626318
