county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_16_rep_mur,vap_white.uss_16_dem_met,vap_black.uss_16_rep_mur,vap_black.uss_16_dem_met,vap_hisp.uss_16_rep_mur,vap_hisp.uss_16_dem_met,vap_oth.uss_16_rep_mur,vap_oth.uss_16_dem_met,vap_white.gov_18_rep_dun,vap_white.gov_18_dem_beg,vap_black.gov_18_rep_dun,vap_black.gov_18_dem_beg,vap_hisp.gov_18_rep_dun,vap_hisp.gov_18_dem_beg,vap_oth.gov_18_rep_dun,vap_oth.gov_18_dem_beg,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_sul,vap_white.uss_20_dem_gro,vap_black.uss_20_rep_sul,vap_black.uss_20_dem_gro,vap_hisp.uss_20_rep_sul,vap_hisp.uss_20_dem_gro,vap_oth.uss_20_rep_sul,vap_oth.uss_20_dem_gro
3,0202024-730,0.6870481265056275,0.31295187349437253,0.5057576003075585,0.4942423996924415,0.6825836986553867,0.31741630134461324,0.22234741017286405,0.7776525898271359,0.9626291681534244,0.037370831846575685,0.3663330995101611,0.633666900489839,0.4854423307754396,0.5145576692245605,0.62221785924647,0.37778214075353006,0.6509842117634447,0.3490157882365553,0.5072992327306232,0.4927007672693769,0.6400483304792551,0.3599516695207449,0.2304329978036267,0.7695670021963733,0.7014760040335477,0.29852399596645235,0.49645484106375143,0.5035451589362486,0.6466655291273896,0.3533344708726104,0.15641778666763,0.84358221333237,0.7822968970509283,0.21770310294907175,0.37628300543056126,0.6237169945694387,0.5968938445789861,0.4031061554210139,0.14402042669187684,0.8559795733081231
3,0202025-840,0.7035529016803034,0.2964470983196966,0.514480359071642,0.48551964092835775,0.7249309151005173,0.2750690848994826,0.25596744069670596,0.744032559303294,0.9405361190410656,0.05946388095893443,0.3664066552600259,0.6335933447399739,0.48790625318912195,0.512093746810878,0.6389034295947323,0.36109657040526766,0.6704228166875914,0.3295771833124084,0.5225951120397974,0.4774048879602026,0.6734116343564862,0.32658836564351373,0.2785484813773931,0.7214515186226069,0.6588680998730316,0.34113190012696837,0.49671350092830197,0.503286499071698,0.6479401712510238,0.35205982874897623,0.14498211510843095,0.855017884891569,0.7226917009179997,0.2773082990820002,0.38121385037225575,0.618786149627744,0.6120212239353913,0.38797877606460873,0.12966865891172297,0.870331341088277
3,0202025-845,0.6881770727733969,0.3118229272266031,0.5068195820367593,0.49318041796324075,0.6911068674821184,0.30889313251788164,0.23797285875643875,0.7620271412435612,0.9471927655559279,0.05280723444407214,0.3565545624987429,0.6434454375012572,0.4598723570285489,0.5401276429714509,0.5892279538574456,0.4107720461425543,0.6274414610370773,0.3725585389629226,0.5116390425182197,0.4883609574817803,0.6382251228554908,0.36177487714450923,0.234050350183128,0.765949649816872,0.6685368620550722,0.33146313794492777,0.4936751712772757,0.5063248287227242,0.6502088901136317,0.3497911098863681,0.16143403105925586,0.8385659689407442,0.7495337630459851,0.250466236954015,0.37733354534969993,0.6226664546503001,0.6034082462944231,0.3965917537055767,0.13563573203677398,0.8643642679632261
3,0202025-850,0.5486099149749702,0.4513900850250298,0.49851182612079625,0.5014881738792037,0.679047426105033,0.32095257389496706,0.20449502217382823,0.7955049778261718,0.9600000269121627,0.03999997308783732,0.3532166616558018,0.6467833383441982,0.46069264401267807,0.5393073559873219,0.5815583829717234,0.41844161702827665,0.4990513615042416,0.5009486384957583,0.49641437069599936,0.5035856293040006,0.6207470982593903,0.37925290174060966,0.19908055501702426,0.8009194449829757,0.5426380456931985,0.45736195430680154,0.4776273538269048,0.5223726461730952,0.6225193512471187,0.37748064875288134,0.13907803853709297,0.860921961462907,0.6299570596649328,0.37004294033506724,0.3710221651767331,0.6289778348232669,0.5800017519327192,0.4199982480672808,0.1282621205867531,0.8717378794132469
3,0202025-855,0.7446521575180443,0.25534784248195574,0.5104423779677463,0.48955762203225367,0.7107810399541825,0.28921896004581754,0.24776254437130385,0.75223745562869615,0.942770773729767,0.0572292262702329,0.3507202840495848,0.6492797159504152,0.459648687127417,0.5403513128725828,0.5680446175098264,0.4319553824901736,0.6553374427180497,0.3446625572819502,0.5045409155976607,0.4954590844023394,0.6556513830402259,0.3443486169597742,0.24739772784631917,0.7526022721536808,0.652093697437261,0.34790630256273886,0.5002269546605327,0.49977304533946737,0.6405786615135981,0.3594213384864017,0.15576003196198646,0.8442399680380136,0.6865302997001499,0.3134697002998499,0.3702763675745202,0.6297236324254798,0.5927246997939635,0.4072753002060366,0.12839361582947273,0.8716063841705273
3,0202025-860,0.7317928710009437,0.2682071289990563,0.5158513336016585,0.48414866639834153,0.7155075516769933,0.2844924483230067,0.262580122941193,0.7374198770588071,0.9478906485247666,0.05210935147523348,0.36897161310844634,0.6310283868915537,0.4937727947095614,0.5062272052904386,0.6382706258342287,0.36172937416577133,0.6554226749139441,0.3445773250860559,0.5146221495189257,0.48537785048107435,0.6512169217930893,0.34878307820691073,0.23680961412088897,0.763190385879111,0.6884810483918443,0.31151895160815574,0.5032410144414963,0.49675898555850373,0.6505761747720947,0.34942382522790527,0.14839911533218197,0.851600884667818,0.7385807646307437,0.26141923536925626,0.382205041413795,0.617794958586205,0.6088744848022754,0.3911255151977246,0.13990656596865775,0.8600934340313423
3,0202025-865,0.7514062455902956,0.24859375440970446,0.5223602584722778,0.47763974152772215,0.7235551554608912,0.27644484453910856,0.27991343872323965,0.7200865612767603,0.9530571358971046,0.04694286410289543,0.36454430894545387,0.6354556910545461,0.4895535867088822,0.5104464132911176,0.6775901056015637,0.3224098943984362,0.7208895525170064,0.27911044748299363,0.5247329300739682,0.47526706992603185,0.6711312998121096,0.3288687001878904,0.30124334807334807,0.6987566519266519,0.7490731407349674,0.2509268592650326,0.5182383639001424,0.48176163609985756,0.678090637233285,0.3219093627667148,0.23228919904945008,0.7677108009505499,0.7878590439247584,0.2121409560752416,0.40135436767162247,0.5986456323283775,0.6381858706277221,0.36181412937227764,0.22486404565941842,0.7751359543405816
3,0202025-870,0.6873895983395276,0.3126104016604724,0.5073343816355286,0.49266561836447137,0.6917735179103942,0.3082264820896058,0.21682145444029535,0.7831785455597047,0.941651466848769,0.058348533151231056,0.3557461382214099,0.6442538617785899,0.4591110351636812,0.5408889648363188,0.5838311944366165,0.4161688055633835,0.6394589898688203,0.3605410101311797,0.4980989670835564,0.5019010329164434,0.6417023247478679,0.3582976752521321,0.21416834200662108,0.785831657993379,0.7311094771284129,0.2688905228715871,0.5108944607007941,0.4891055392992056,0.6835793106470793,0.31642068935292067,0.20301783738867613,0.7969821626113238,0.8015086163298255,0.19849138367017446,0.39232934745925613,0.6076706525407436,0.6317783672174634,0.36822163278253667,0.1914417602638245,0.8085582397361755
3,0202026-800,0.6969046578264035,0.30309534217359646,0.5137005312874112,0.4862994687125887,0.7127712308257484,0.2872287691742515,0.23868021902803366,0.7613197809719663,0.9602627642717335,0.03973723572826646,0.3763122608231543,0.6236877391768457,0.5235702580920482,0.4764297419079519,0.6747664572558818,0.3252335427441182,0.7153220208867523,0.28467797911324766,0.5216600899644427,0.47833991003555726,0.6695027711330409,0.3304972288669591,0.2975426573255286,0.7024573426744714,0.7039948894193301,0.2960051105806699,0.5054255284770393,0.49457447152296075,0.6724560903549148,0.3275439096450852,0.1699171256699585,0.8300828743300415,0.7737196281850448,0.22628037181495522,0.38206546161036015,0.6179345383896399,0.634695317691734,0.365304682308266,0.16292608557375846,0.8370739144262416
3,0202026-805,0.6510996648787669,0.3489003351212331,0.5041612886588043,0.49583871134119567,0.6913254521643701,0.30867454783562986,0.21960841356683605,0.7803915864331638,0.9464730985576492,0.05352690144235082,0.34694018257906384,0.6530598174209362,0.4379290463413347,0.5620709536586652,0.5138585933964274,0.4861414066035727,0.6229408549917963,0.37705914500820364,0.5082029469482979,0.49179705305170207,0.6242853695322418,0.3757146304677582,0.22189723934757227,0.7781027606524274,0.5767134419660148,0.4232865580339852,0.48497863792859874,0.5150213620714013,0.6298487836764715,0.37015121632352854,0.1455293296319478,0.854470670368052,0.646899403825253,0.35310059617474693,0.36282677002612107,0.6371732299738789,0.5906520453482567,0.4093479546517433,0.13480078237272536,0.8651992176272746
3,0202026-810,0.8019899130770999,0.19801008692289984,0.5218798959229215,0.47812010407707856,0.7178226098637727,0.28217739013622706,0.28011649145431444,0.7198835085456856,0.9671563901985679,0.03284360980143195,0.37191642958740273,0.6280835704125972,0.4939998503263637,0.5060001496736364,0.6497516068945888,0.3502483931054113,0.7695336421941841,0.23046635780581573,0.5188966859387449,0.48110331406125506,0.6723640157952646,0.32763598420473544,0.28143599326307706,0.7185640067369229,0.7761869291283225,0.2238130708716775,0.5063424583272526,0.4936575416727474,0.6725966953683111,0.3274033046316888,0.18396649331589424,0.8160335066841058,0.8529893323843165,0.1470106676156835,0.3908903717621619,0.6091096282378381,0.6433744018246217,0.3566255981753783,0.2400263058738252,0.7599736941261748
3,0202026-815,0.7213638027495182,0.2786361972504818,0.5055636446215082,0.49443635537849184,0.6927776598958781,0.30722234010412164,0.23981740499091317,0.7601825950090868,0.9711424998538862,0.02885750014611382,0.36124620440503535,0.6387537955949647,0.48515321875213324,0.5148467812478665,0.6472227175729348,0.35277728242706513,0.7114245404524621,0.28857545954753794,0.5104451006061953,0.48955489939380475,0.6417643396902412,0.3582356603097587,0.25172448353265214,0.7482755164673479,0.7183879622558692,0.2816120377441308,0.5007997918468489,0.49920020815315114,0.6460685200314277,0.3539314799685721,0.16714659954934138,0.8328534004506586,0.804292866991572,0.19570713300842807,0.38360870679406284,0.6163912932059372,0.6059040740902754,0.3940959259097247,0.17193589956879804,0.8280641004312019
3,0202026-820,0.5750927964271402,0.4249072035728599,0.501508532079529,0.4984914679204711,0.678196009248055,0.32180399075194505,0.21071995258031262,0.7892800474196874,0.9147518441590564,0.08524815584094357,0.34456984509430955,0.6554301549056905,0.4385133103822851,0.5614866896177149,0.5153501620918115,0.4846498379081885,0.5851184836592928,0.4148815163407073,0.502540753351937,0.49745924664806274,0.6342147795306349,0.3657852204693652,0.22234796570332996,0.7776520342966701,0.6294632044436197,0.3705367955563803,0.49227592761678546,0.5077240723832143,0.637665356961857,0.36233464303814295,0.15156506721944243,0.8484349327805576,0.6849317055331461,0.3150682944668539,0.374459178478226,0.625540821521774,0.5787356679049381,0.4212643320950619,0.1418638914572088,0.8581361085427912
