county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_oth.pre_20_rep_tru
Alameda County,06001450741,0.5278819067255005,0.47211809327449955,0.9639728731561465,0.036027126843853445,0.9405645196173377,0.05943548038266232,0.7960275932754165,0.20397240672458353,0.6006561836945502,0.3993438163054496,0.9605302059963584,0.039469794003641576,0.8648655808107961,0.13513441918920366,0.7156830394697808,0.2843169605302192
Alameda County,06001450742,0.48029107003705646,0.5197089299629435,0.9570213316700507,0.042978668329949364,0.9475401226621437,0.0524598773378563,0.8018534846430413,0.1981465153569587,0.6141900771868627,0.38580992281313725,0.9585916710850294,0.04140832891497061,0.8696594429950936,0.1303405570049064,0.7265849309169824,0.27341506908301766
Alameda County,06001450743,0.7418940442195247,0.2581059557804753,0.9588832388142254,0.041116761185774536,0.9393011024844219,0.060698897515578096,0.7287079085101037,0.2712920914898963,0.8293586120371813,0.1706413879628187,0.9566173282939786,0.04338267170602144,0.8648967102838355,0.13510328971616423,0.6790398413583402,0.3209601586416599
Alameda County,06001450744,0.5754137788619146,0.4245862211380854,0.9636776041920003,0.03632239580799973,0.9417166437199791,0.05828335628002086,0.7764704729977184,0.22352952700228162,0.7449168852249838,0.25508311477501616,0.9590858439261593,0.040914156073840705,0.8676313280767252,0.13236867192327484,0.6762684630423923,0.32373153695760765
Alameda County,06001450745,0.6168984516524257,0.38310154834757426,0.9605948333377086,0.03940516666229142,0.9439661683666563,0.05603383163334372,0.7384260528867098,0.2615739471132902,0.7671271362924521,0.23287286370754795,0.9597196123995339,0.04028038760046619,0.86840326987743,0.13159673012257,0.6572064087687202,0.34279359123127984
Alameda County,06001450746,0.5464580138516338,0.4535419861483662,0.9645035418370383,0.03549645816296162,0.9513092003410769,0.048690799658923124,0.8050412863792856,0.19495871362071437,0.6553603992558708,0.3446396007441292,0.9613978478706025,0.0386021521293975,0.8722371069778061,0.1277628930221939,0.7134519765155731,0.2865480234844269
Alameda County,06001450750,0.7237584779310581,0.2762415220689419,0.9623588454204274,0.03764115457957258,0.9424996185221438,0.057500381477855966,0.7565218124843056,0.24347818751569414,0.8708054655483201,0.12919453445168,0.9534632940350384,0.046536705964961615,0.871426332983928,0.1285736670160718,0.7017363150078307,0.298263684992169
Alameda County,06001450751,0.7413818450444868,0.25861815495551316,0.9591690061532007,0.04083099384679934,0.9475157948992928,0.05248420510070719,0.7716193005752574,0.22838069942474232,0.8541685323505475,0.14583146764945248,0.955278797881553,0.044721202118446976,0.8761578404072525,0.12384215959274747,0.7265378134967637,0.27346218650323634
Alameda County,06001450752,0.6850422238522178,0.3149577761477822,0.9596222040586797,0.04037779594132034,0.9387256738485937,0.06127432615140627,0.7434358722471885,0.2565641277528115,0.8398872978674456,0.16011270213255438,0.9578544595134039,0.042145540486595856,0.8704317900724401,0.12956820992755988,0.7178942333097971,0.28210576669020293
Alameda County,06001451102,0.4826271412603386,0.5173728587396614,0.9587942059215878,0.04120579407841215,0.9493476144920954,0.05065238550790463,0.8086373551187701,0.19136264488122987,0.5357057075745667,0.46429429242543335,0.9565934814231113,0.04340651857688872,0.8731889725579137,0.1268110274420863,0.7453133579080018,0.25468664209199826
Alameda County,06001451103,0.4043540144996175,0.5956459855003823,0.9583548848666894,0.041645115133310616,0.9464867848005174,0.053513215199482544,0.8023087396646155,0.1976912603353846,0.5126277956162852,0.4873722043837147,0.9561354974765495,0.04386450252345051,0.8692131567178846,0.13078684328211537,0.730681360748982,0.2693186392510179
Alameda County,06001451104,0.25751364763221757,0.7424863523677825,0.9635395794249236,0.036460420575076403,0.9377543440409365,0.062245655959063555,0.7990009414320423,0.20099905856795777,0.37590303023662597,0.624096969763374,0.9534235639554139,0.04657643604458612,0.8664090569111184,0.13359094308888167,0.7227152586126213,0.2772847413873785
Alameda County,06001451201,0.3885194697921137,0.6114805302078863,0.9601462928619432,0.039853707138056825,0.9405217420411754,0.05947825795882451,0.8004542626019739,0.1995457373980261,0.5034546368157244,0.49654536318427556,0.9544673319749944,0.0455326680250055,0.8610217048929326,0.13897829510706738,0.735672909542231,0.264327090457769
Alameda County,06001451202,0.342466784794372,0.657533215205628,0.9610068476571955,0.038993152342804274,0.9394812581360739,0.06051874186392617,0.795707040146613,0.20429295985338697,0.47252127645179104,0.527478723548209,0.9608851489655111,0.039114851034488654,0.8625452309463741,0.13745476905362583,0.7094796787955802,0.2905203212044199
Alameda County,06001451300,0.4333408877710893,0.5666591122289104,0.9629659632529268,0.03703403674707321,0.9415161688177954,0.05848383118220452,0.8081471158449135,0.19185288415508647,0.5438752047357186,0.45612479526428124,0.9578734177596019,0.04212658224039815,0.8611906819522369,0.13880931804776309,0.7394260418353673,0.2605739581646327
Alameda County,06001451401,0.43912212639751447,0.5608778736024855,0.9672107159012071,0.032789284098792906,0.9464578507445655,0.0535421492554345,0.7984037577860783,0.20159624221392172,0.519637680485632,0.48036231951436803,0.9586685664912254,0.04133143350877429,0.8689478138519381,0.13105218614806188,0.736925193605886,0.2630748063941139
Alameda County,06001451403,0.44776024086984606,0.5522397591301539,0.95993851585531,0.040061484144690025,0.9365248499137593,0.06347515008624073,0.8035242638025546,0.19647573619744546,0.5614276022072259,0.4385723977927741,0.9577917135056512,0.04220828649434878,0.8646909743844675,0.13530902561553243,0.7355426172851068,0.26445738271489316
Alameda County,06001451404,0.330432383031207,0.6695676169687931,0.956896377069493,0.04310362293050699,0.9178949965328221,0.08210500346717782,0.7906563135179921,0.20934368648200782,0.45835565992756566,0.5416443400724343,0.9566463332908672,0.043353666709132724,0.8027847885432471,0.1972152114567529,0.7289389858860905,0.2710610141139094
Alameda County,06001451501,0.493593511081148,0.506406488918852,0.9617213928048797,0.03827860719512036,0.9503967604178675,0.04960323958213259,0.8006256951564497,0.19937430484355034,0.540282146341324,0.459717853658676,0.9598671106524136,0.040132889347586444,0.8642009193148639,0.13579908068513608,0.7275712497895749,0.2724287502104251
Alameda County,06001451503,0.4561356080553561,0.5438643919446439,0.9621173693283461,0.03788263067165362,0.9465729835640119,0.05342701643598811,0.8022606156972677,0.19773938430273227,0.5478240980995323,0.4521759019004678,0.9573084706917833,0.04269152930821647,0.8644812157691074,0.13551878423089236,0.7397437127979134,0.2602562872020866
Alameda County,06001451504,0.4438816638165992,0.5561183361834008,0.9581925742342503,0.04180742576574973,0.9430890248898797,0.05691097511012012,0.7999031487660341,0.20009685123396595,0.5190297913136307,0.4809702086863693,0.9587898876469505,0.041210112353049534,0.8640112107842548,0.13598878921574517,0.7299667469497596,0.2700332530502404
Alameda County,06001451505,0.4325645927045414,0.5674354072954586,0.958822837317369,0.04117716268263109,0.9422293646420876,0.05777063535791242,0.808170080795411,0.19182991920458897,0.5741283859171834,0.42587161408281665,0.9565826062030328,0.04341739379696719,0.8737631168169376,0.12623688318306234,0.7437810691820768,0.25621893081792324
Alameda County,06001451506,0.4516643798558231,0.5483356201441769,0.9647987077218043,0.03520129227819569,0.9341987543866137,0.06580124561338631,0.7971035057303576,0.20289649426964237,0.4771963322269881,0.5228036677730119,0.9593530796251293,0.0406469203748707,0.8394148430705787,0.16058515692942132,0.7276722876039002,0.2723277123960997
Alameda County,06001451601,0.5231331465701994,0.4768668534298007,0.9580295539507738,0.04197044604922612,0.94405817658887,0.05594182341113001,0.8018516600154982,0.19814833998450174,0.592774092235038,0.40722590776496204,0.9573692756672278,0.04263072433277211,0.8668303923129195,0.1331696076870805,0.7367274866835014,0.26327251331649865
Alameda County,06001451602,0.4930559785709486,0.5069440214290514,0.9575917290386669,0.042408270961333115,0.9424279207279637,0.05757207927203612,0.8053015133697304,0.1946984866302696,0.5403381971055037,0.45966180289449626,0.9542405203028123,0.045759479697187695,0.8711038012973472,0.12889619870265254,0.7371958848353286,0.2628041151646714
Alameda County,06001451701,0.45435707994868924,0.5456429200513105,0.9636251110037649,0.03637488899623514,0.941252826610484,0.05874717338951599,0.8014456733360553,0.19855432666394474,0.5213003001937502,0.4786996998062496,0.9597342675485786,0.040265732451421156,0.8656437288082914,0.13435627119170857,0.7452001059280605,0.2547998940719394
Alameda County,06001451703,0.4723442158539739,0.5276557841460261,0.9620347494432026,0.037965250556797475,0.9378227612622047,0.062177238737795355,0.801036456805556,0.198963543194444,0.5313226710000255,0.46867732899997455,0.9566702432290715,0.04332975677092856,0.8802959400063426,0.11970405999365744,0.7446573825903999,0.25534261740960007
