county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_hag,vap_white.uss_20_dem_bra,vap_black.uss_20_rep_hag,vap_black.uss_20_dem_bra,vap_hisp.uss_20_rep_hag,vap_hisp.uss_20_dem_bra,vap_oth.uss_20_rep_hag,vap_oth.uss_20_dem_bra
Davidson County,47037001903,0.6442014134255335,0.3557985865744665,0.07906956250996797,0.920930437490032,0.2802753261589907,0.719724673841009,0.22541906990739946,0.7745809300926005,0.5238643259405278,0.4761356740594722,0.07087073077440767,0.9291292692255924,0.24177216328644918,0.7582278367135505,0.3188601798323035,0.6811398201676965,0.5767884567387751,0.42321154326122495,0.05914952734416771,0.9408504726558323,0.21418581124684927,0.7858141887531505,0.27800239739055244,0.7219976026094476
Davidson County,47037001905,0.5912449273116356,0.4087550726883644,0.07097535034239004,0.9290246496576098,0.2761946415398699,0.7238053584601302,0.19782504629602546,0.8021749537039745,0.5229001977839932,0.47709980221600684,0.07113259160914681,0.9288674083908531,0.2432551124542031,0.7567448875457969,0.3054147362363229,0.6945852637636771,0.5680436842608335,0.43195631573916654,0.06813347818032242,0.9318665218196776,0.20726200602983838,0.7927379939701616,0.2604743565368765,0.7395256434631235
Davidson County,47037001906,0.5542470876803068,0.44575291231969316,0.07709055805347367,0.9229094419465264,0.27923610753729217,0.7207638924627077,0.21275710860049823,0.7872428913995018,0.49835472791930313,0.5016452720806969,0.06086977287276565,0.9391302271272344,0.23674989488682832,0.7632501051131715,0.29115698111100324,0.7088430188889967,0.5421317731262127,0.45786822687378725,0.06837631330621172,0.9316236866937883,0.20855363621423087,0.7914463637857692,0.2461920193969451,0.7538079806030549
Davidson County,47037001907,0.541250335039063,0.458749664960937,0.06718260912853181,0.9328173908714682,0.2839146497760233,0.7160853502239767,0.2141222650783199,0.7858777349216801,0.5264421430495734,0.4735578569504267,0.061786392806764984,0.938213607193235,0.23508801201126955,0.7649119879887302,0.3037644688151771,0.6962355311848228,0.6076039023799902,0.3923960976200098,0.06047081519729202,0.939529184802708,0.20072762723884258,0.7992723727611574,0.2504507818722831,0.7495492181277169
Davidson County,47037001908,0.5070336462152446,0.4929663537847554,0.0655067613819538,0.9344932386180462,0.2819607538861654,0.7180392461138346,0.20740753923149327,0.7925924607685068,0.4438199757808838,0.5561800242191163,0.06556588215307525,0.9344341178469248,0.2310348741444736,0.7689651258555265,0.30382045580639755,0.6961795441936024,0.4963007245113493,0.5036992754886505,0.063859079905260685,0.9361409200947393,0.20633346283078494,0.7936665371692151,0.24316140013795842,0.7568385998620416
Davidson County,47037001909,0.5067740340912279,0.49322596590877205,0.058464164293232736,0.9415358357067672,0.2805275096919122,0.7194724903080878,0.20989248671585203,0.790107513284148,0.47214902753535765,0.5278509724646424,0.06770411964064052,0.9322958803593595,0.23618464962250355,0.7638153503774965,0.30165661225415413,0.6983433877458458,0.5409491992798464,0.45905080072015336,0.06547760908396963,0.9345223909160302,0.2067603448394435,0.7932396551605565,0.24957599828796678,0.7504240017120332
Davidson County,47037001910,0.601063507058842,0.39893649294115796,0.061099901446697635,0.9389000985533024,0.27645322327455835,0.7235467767254417,0.20424013209667521,0.7957598679033248,0.5568163700155621,0.4431836299844379,0.06546815317209756,0.9345318468279025,0.23671888073180408,0.7632811192681959,0.3007802378561558,0.6992197621438442,0.6790969643416518,0.32090303565834816,0.05589204504147468,0.9441079549585253,0.2111756328147794,0.7888243671852205,0.25398339931797465,0.7460166006820254
Davidson County,47037001911,0.5432739760061707,0.4567260239938293,0.06991347124412409,0.9300865287558759,0.27772664575215633,0.7222733542478437,0.20871218759023039,0.7912878124097696,0.4781045747382922,0.5218954252617077,0.06361360648239554,0.9363863935176044,0.23742517432427923,0.7625748256757208,0.29255998367096897,0.7074400163290311,0.6375175416189034,0.3624824583810966,0.06716515929463764,0.9328348407053624,0.20789899806541184,0.7921010019345881,0.2516657467815366,0.7483342532184634
Davidson County,47037001912,0.2863184426856782,0.7136815573143218,0.06384071514903798,0.936159284850962,0.27354420338661833,0.7264557966133817,0.21156411778678047,0.7884358822132196,0.2659248844628582,0.7340751155371418,0.05332589724472841,0.9466741027552716,0.2327168358331462,0.7672831641668538,0.28317775364265435,0.7168222463573456,0.34166230722678775,0.6583376927732122,0.06521558207383915,0.9347844179261608,0.2081505058545371,0.7918494941454629,0.23754133005361083,0.7624586699463892
Davidson County,47037001913,0.41591556406042557,0.5840844359395745,0.06825202095165345,0.9317479790483466,0.2719589555342914,0.7280410444657086,0.20357585669213654,0.7964241433078635,0.36921639223450714,0.6307836077654928,0.06363345041177289,0.9363665495882271,0.23733587841295806,0.7626641215870419,0.30263091110762436,0.6973690888923757,0.43632447819976433,0.5636755218002357,0.06045267281419694,0.939547327185803,0.2024362621911821,0.7975637378088178,0.25203800644768554,0.7479619935523144
