county,GEOID,vap_white.pre_16_rep_tru,vap_white.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_oth.pre_16_rep_tru,vap_oth.pre_16_dem_cli,vap_white.uss_18_rep_wic,vap_white.uss_18_dem_bar,vap_black.uss_18_rep_wic,vap_black.uss_18_dem_bar,vap_hisp.uss_18_rep_wic,vap_hisp.uss_18_dem_bar,vap_oth.uss_18_rep_wic,vap_oth.uss_18_dem_bar,vap_white.pre_20_rep_tru,vap_white.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_oth.pre_20_rep_tru,vap_oth.pre_20_dem_bid,vap_white.uss_20_rep_hyd,vap_white.uss_20_dem_esp,vap_black.uss_20_rep_hyd,vap_black.uss_20_dem_esp,vap_hisp.uss_20_rep_hyd,vap_hisp.uss_20_dem_esp,vap_oth.uss_20_rep_hyd,vap_oth.uss_20_dem_esp
Wayne County,28153000105,0.9648006422541153,0.03519935774588469,0.11873904602843398,0.881260953971566,0.44801105290890825,0.5519889470910917,0.4381391492306377,0.5618608507693623,0.983460147709511,0.0165398522904891,0.07569694784964831,0.9243030521503517,0.4735822831399994,0.5264177168600006,0.44599603560573636,0.5540039643942637,0.956802534091118,0.043197465908881946,0.15268061843828845,0.8473193815617115,0.48854412905951466,0.5114558709404853,0.45634177213770644,0.5436582278622936,0.9532113516115666,0.046788648388433475,0.06468160896146549,0.9353183910385345,0.43700336579089705,0.562996634209103,0.43091967173365997,0.56908032826634
Wayne County,28153000201,0.9397966454218709,0.060203354578128906,0.2078131900160505,0.7921868099839495,0.4449503944807576,0.5550496055192423,0.43283223383935693,0.567167766160643,0.9643307382383345,0.03566926176166532,0.16104457670285116,0.8389554232971488,0.47530301182344503,0.524696988176555,0.4416346274764967,0.5583653725235033,0.9557473879764222,0.04425261202357756,0.1469267731396406,0.8530732268603595,0.4856132460865467,0.5143867539134533,0.4480357397905712,0.5519642602094288,0.938018763039292,0.061981236960708,0.08511697576775051,0.9148830242322495,0.4500370160456387,0.5499629839543613,0.42575447228911056,0.5742455277108894
Wayne County,28153000202,0.9393846345423558,0.06061536545764424,0.06030664249304265,0.9396933575069574,0.43446709002094486,0.5655329099790551,0.41882634488182857,0.5811736551181714,0.9618245371797024,0.038175462820297615,0.08846339028623264,0.9115366097137674,0.46791775986394485,0.5320822401360552,0.4447506538278953,0.5552493461721046,0.9575645561628006,0.042435443837199445,0.08677158390221199,0.913228416097788,0.4741696351674433,0.5258303648325567,0.44258117919427054,0.5574188208057295,0.9303378869082907,0.06966211309170937,0.07239289226725672,0.9276071077327432,0.4320435653848921,0.5679564346151079,0.42285240851816763,0.5771475914818324
Wayne County,28153000203,0.9235523786948743,0.0764476213051257,0.06126459269194265,0.9387354073080574,0.4384491712379555,0.5615508287620444,0.423393959186149,0.5766060408138509,0.9531893888696921,0.046810611130307926,0.059994169851287936,0.9400058301487121,0.4737245249400881,0.5262754750599119,0.44609529920595803,0.553904700794042,0.9569967596298098,0.043003240370190175,0.06664933900959416,0.9333506609904059,0.48613772958486207,0.5138622704151379,0.4533316023154883,0.5466683976845117,0.9241382896455476,0.07586171035445242,0.06280391390869326,0.9371960860913068,0.42455450910539055,0.5754454908946095,0.42867497258408715,0.5713250274159128
Wayne County,28153000204,0.9835313688525873,0.016468631147412705,0.3339400292891153,0.6660599707108845,0.45339751559941543,0.5466024844005846,0.4383712339273021,0.5616287660726978,0.9842683666921191,0.015731633307880858,0.24238859582355418,0.7576114041764458,0.48578572500212663,0.5142142749978733,0.4593392989205331,0.5406607010794668,0.9883719735830828,0.011628026416917202,0.25572498736746785,0.7442750126325319,0.5007903526537183,0.4992096473462817,0.4596846044671793,0.5403153955328205,0.9742214188733515,0.025778581126648565,0.10391549920253776,0.896084500797462,0.44599624569649826,0.5540037543035017,0.42955549243573465,0.5704445075642651
Wayne County,28153000301,0.9815276495351466,0.018472350464853602,0.42888283541610034,0.5711171645838997,0.4931244763538656,0.5068755236461344,0.45155966115330876,0.5484403388466912,0.9827710031699359,0.01722899683006429,0.37642752038330435,0.6235724796166957,0.5217260118245903,0.47827398817540967,0.47234251879848654,0.5276574812015135,0.9814996921759912,0.018500307824008983,0.27623884785829117,0.7237611521417089,0.5294433663803614,0.47055663361963856,0.4768209674384034,0.5231790325615966,0.9713945131797792,0.028605486820220988,0.21325962373813034,0.7867403762618697,0.5091182975640459,0.4908817024359541,0.4617037578710221,0.538296242128978
Wayne County,28153000302,0.8807457290942308,0.11925427090576923,0.09029623192542877,0.9097037680745712,0.4317947044541662,0.5682052955458338,0.4091916091636114,0.5908083908363886,0.9409185808583289,0.05908141914167107,0.06910562254707528,0.9308943774529247,0.45712015821580254,0.5428798417841975,0.4183661324889151,0.5816338675110849,0.9561562434328078,0.04384375656719225,0.07166788629657131,0.9283321137034287,0.46487095824369795,0.535129041756302,0.42643270174752046,0.5735672982524795,0.8742620599429242,0.12573794005707584,0.07786355032911237,0.9221364496708876,0.42464867091334674,0.5753513290866532,0.41021324690535205,0.5897867530946479
Wayne County,28153000303,0.7254645035212969,0.2745354964787032,0.05705798258282991,0.9429420174171701,0.42578289714494477,0.5742171028550552,0.4215976838643785,0.5784023161356215,0.7983651713034254,0.20163482869657462,0.045278109530281836,0.9547218904697181,0.46299885443301997,0.53700114556698,0.42515469898454655,0.5748453010154534,0.6699900220263088,0.33000997797369125,0.05887582313052923,0.9411241768694708,0.4630642421520373,0.5369357578479627,0.44307898665888723,0.5569210133411128,0.6274691471856556,0.3725308528143444,0.044645448350264474,0.9553545516497355,0.42343455364407767,0.5765654463559223,0.4123699175970572,0.5876300824029428
Wayne County,28153000304,0.9184599381945598,0.08154006180544017,0.12949002343190974,0.8705099765680903,0.44385955231531127,0.5561404476846887,0.4262810865052181,0.5737189134947819,0.9213986952936382,0.07860130470636188,0.16966183159251344,0.8303381684074865,0.4745549324716699,0.5254450675283301,0.4424743292643514,0.5575256707356486,0.9182192519714362,0.08178074802856383,0.1338549918593868,0.8661450081406132,0.47525095618464097,0.524749043815359,0.4454229066641003,0.5545770933358998,0.8877984101927209,0.11220158980727915,0.12865116910500474,0.8713488308949953,0.4367017972875213,0.5632982027124788,0.42549884508471253,0.5745011549152874
Wayne County,28153000305,0.968487026257212,0.031512973742788025,0.09662469041580365,0.9033753095841963,0.4390224144463779,0.5609775855536221,0.42024847790664166,0.5797515220933583,0.9616035336283703,0.0383964663716297,0.08410215060574912,0.9158978493942509,0.46867529695516363,0.5313247030448364,0.4347169394193551,0.5652830605806449,0.9562270772371543,0.04377292276284578,0.0950530458779541,0.904946954122046,0.4733351346122052,0.5266648653877948,0.4332534684181284,0.5667465315818716,0.9225166868230856,0.07748331317691443,0.0879153196637547,0.9120846803362451,0.43214509796226136,0.5678549020377386,0.41692193790107235,0.5830780620989277
Wayne County,28153000401,0.94640654093466825,0.05359345906533178,0.08007180741130143,0.9199281925886986,0.45651170451414935,0.5434882954858509,0.435894962127746,0.564105037872254,0.9444090809528839,0.05559091904711614,0.057128616159800936,0.9428713838401991,0.4815548827300562,0.518445117269944,0.4412263881961708,0.5587736118038292,0.93870222125642,0.06129777874358005,0.083424299735376,0.916575700264624,0.49482355479289547,0.5051764452071048,0.4473710045357268,0.5526289954642731,0.9213462843303395,0.0786537156696605,0.05504954439910762,0.9449504556008924,0.45959953408593557,0.5404004659140647,0.4339095735623937,0.5660904264376063
Wayne County,28153000402,0.9729992274807986,0.02700077251920141,0.08753652470063797,0.912463475299362,0.44458039812464684,0.5554196018753531,0.42121651830101364,0.5787834816989864,0.9759131590137378,0.024086840986262206,0.0936254415707172,0.9063745584292828,0.47676615164428693,0.5232338483557131,0.44127777739828244,0.5587222226017176,0.9788033133602785,0.021196686639721546,0.11407293484303689,0.8859270651569631,0.4779937485133845,0.5220062514866155,0.4491388270987743,0.5508611729012257,0.952136903237831,0.04786309676216906,0.07942486050275036,0.9205751394972497,0.4274408280655916,0.5725591719344084,0.40515711861351145,0.5948428813864886
Wayne County,28153000403,0.9850083724663784,0.014991627533621639,0.09463036315617616,0.9053696368438239,0.4391160244106988,0.5608839755893013,0.42523253770942815,0.5747674622905719,0.9860497905652191,0.01395020943478088,0.08982492572722427,0.9101750742727758,0.47186181280619843,0.5281381871938016,0.42822349117620406,0.5717765088237959,0.9903829145657671,0.009617085434232906,0.12653816396478262,0.8734618360352174,0.48682741850315325,0.5131725814968467,0.4536088761502541,0.5463911238497459,0.974910493989843,0.025089506010156994,0.08518090756298516,0.9148190924370149,0.4255308602464751,0.5744691397535249,0.4114845888716054,0.5885154111283947
Wayne County,28153000404,0.9725908589238429,0.02740914107615708,0.08070287785149614,0.9192971221485039,0.44541620628551565,0.5545837937144841,0.42698283692381955,0.5730171630761804,0.9801768930949627,0.019823106905037313,0.10384887435618397,0.896151125643816,0.4682849089394517,0.5317150910605483,0.4460747262077166,0.5539252737922834,0.9777071638109396,0.02229283618906041,0.11936544102016367,0.8806345589798363,0.48291945801699865,0.5170805419830014,0.45779959449913216,0.5422004055008678,0.9567579437769096,0.04324205622309042,0.06993066076161082,0.9300693392383892,0.43337169748855325,0.5666283025114468,0.4170571955307983,0.5829428044692017
Wayne County,28153000405,0.96186488566509,0.03813511433491,0.09774508086779174,0.9022549191322082,0.44450440183330703,0.555495598166693,0.416433543491111,0.5835664565088887,0.958349162177196,0.041650837822804,0.08186419492013249,0.9181358050798675,0.4726798175351551,0.5273201824648449,0.4260412472913592,0.5739587527086405,0.9679686107902796,0.03203138920972042,0.094392043992989,0.905607956007011,0.47877958559271405,0.521220414407286,0.43648691857756755,0.5635130814224325,0.9247768109518746,0.07522318904812543,0.08386104543100434,0.9161389545689956,0.4306087097179831,0.5693912902820168,0.4076013486621916,0.5923986513378083
Wayne County,28153000501,0.9227494848952426,0.07725051510475747,0.06744844418034418,0.9325515558196559,0.44437803606547027,0.5556219639345297,0.4359556254049285,0.5640443745950715,0.9458406211796624,0.05415937882033761,0.07748751349056948,0.9225124865094305,0.48691627212478267,0.5130837278752173,0.44791409779159136,0.5520859022084086,0.9367495172382928,0.06325048276170712,0.10912158244875804,0.890878417551242,0.4942144955486825,0.5057855044513175,0.45712029330377196,0.542879706696228,0.9283083450915764,0.07169165490842358,0.060508852712736906,0.9394911472872631,0.44725328409927867,0.5527467159007213,0.43161235465334896,0.5683876453466511
Wayne County,28153000502,0.9962769532561487,0.0037230467438512985,0.15905268803929629,0.8409473119607037,0.4411069405102943,0.5588930594897057,0.4096672707563756,0.5903327292436245,0.9852577291353312,0.01474227086466883,0.13345728666553328,0.8665427133344668,0.4543930703352638,0.5456069296647361,0.36921851538554734,0.6307814846144527,0.9898330731446379,0.010166926855362137,0.13693146792325572,0.8630685320767443,0.461646510957754,0.538353489042246,0.3741404550351396,0.6258595449648604,0.9592434412519524,0.04075655874804766,0.12495338265093331,0.8750466173490667,0.42566705185030235,0.5743329481496976,0.40452119026439703,0.595478809735603
Wayne County,28153000503,0.9928245811305038,0.007175418869496217,0.14254211520682036,0.8574578847931796,0.44330777215528716,0.5566922278447128,0.38089743912653606,0.6191025608734639,0.9927947110662033,0.007205288933796639,0.14643622753267715,0.8535637724673228,0.4716964071811941,0.5283035928188059,0.4256635132580042,0.5743364867419958,0.9942884106089154,0.0057115893910846495,0.1503318433358384,0.8496681566641616,0.4766304357217376,0.5233695642782624,0.44213735820591527,0.5578626417940847,0.9702843550820718,0.02971564491792818,0.11859831518846528,0.8814016848115347,0.4273200230327264,0.5726799769672736,0.381967629447517,0.6180323705524831
Wayne County,28153000505,0.99460383385931,0.005396166140690036,0.1483731449484194,0.8516268550515806,0.4381503008841506,0.5618496991158494,0.44957298036826165,0.5504270196317383,0.9944071487308804,0.005592851269119555,0.14469723511944999,0.85530276488055,0.47456510754526327,0.5254348924547367,0.4606546507549353,0.5393453492450647,0.9942226096579099,0.0057773903420901525,0.16026782070210993,0.83973217929789,0.4743930602927855,0.5256069397072145,0.4453702788906227,0.5546297211093774,0.9482876583581437,0.05171234164185635,0.11858737170698491,0.881412628293015,0.4325990861678127,0.5674009138321874,0.40581059756908583,0.5941894024309142
