county,GEOID,vap_white.pre_16_dem_cli,vap_white.pre_16_rep_tru,vap_black.pre_16_dem_cli,vap_black.pre_16_rep_tru,vap_hisp.pre_16_dem_cli,vap_hisp.pre_16_rep_tru,vap_asian.pre_16_dem_cli,vap_asian.pre_16_rep_tru,vap_aian.pre_16_dem_cli,vap_aian.pre_16_rep_tru,vap_oth_b.pre_16_dem_cli,vap_oth_b.pre_16_rep_tru,vap_white.pre_20_dem_bid,vap_white.pre_20_rep_tru,vap_black.pre_20_dem_bid,vap_black.pre_20_rep_tru,vap_hisp.pre_20_dem_bid,vap_hisp.pre_20_rep_tru,vap_asian.pre_20_dem_bid,vap_asian.pre_20_rep_tru,vap_aian.pre_20_dem_bid,vap_aian.pre_20_rep_tru,vap_oth_b.pre_20_dem_bid,vap_oth_b.pre_20_rep_tru
San Diego County,06073006600,0.3527743685167865,0.6472256314832135,0.9000545244690809,0.09994547553091887,0.8121525411133891,0.1878474588866109,0.7533891260219011,0.24661087397809886,0.2519442255097579,0.7480557744902421,0.6723563898264514,0.32764361017354865,0.46789128156433074,0.5321087184356692,0.9138418612478626,0.08615813875213724,0.7110051830166636,0.2889948169833364,0.6835998764560618,0.3164001235439382,0.3031391393843084,0.6968608606156916,0.7420866321258615,0.2579133678741384
San Diego County,06073006801,0.6640841965202086,0.3359158034797914,0.9094135899005693,0.09058641009943068,0.8229201082103028,0.1770798917896972,0.7643644924002095,0.23563550759979052,0.25523188667932173,0.7447681133206783,0.6986303923552727,0.3013696076447273,0.6906505295524753,0.30934947044752464,0.924794876326758,0.0752051236732419,0.7212309815148557,0.27876901848514435,0.6967730298686563,0.30322697013134375,0.30136485328697,0.69863514671303,0.7733116686054735,0.22668833139452646
San Diego County,06073006802,0.6006327552610552,0.39936724473894486,0.9084870185597647,0.0915129814402353,0.8222407922642626,0.17775920773573745,0.7549915106074152,0.24500848939258482,0.2586289808963387,0.7413710191036613,0.6878429304422908,0.3121570695577091,0.6388096946755702,0.36119030532442975,0.914466459097592,0.0855335409024079,0.7213274753735166,0.27867252462648334,0.6911648598923618,0.3088351401076383,0.31447151776061955,0.6855284822393805,0.774869965363196,0.2251300346368041
San Diego County,06073006900,0.5825559893436106,0.41744401065638936,0.9017102697444888,0.09828973025551119,0.8091707112403124,0.19082928875968744,0.7566247568746565,0.24337524312534348,0.2578283492682298,0.7421716507317699,0.6773599163028078,0.32264008369719194,0.6878903445891684,0.31210965541083163,0.9069081901926912,0.09309180980730881,0.7164706346498994,0.2835293653501004,0.6913005189632553,0.3086994810367447,0.3029241872766191,0.6970758127233809,0.7634024074607798,0.23659759253921997
San Diego County,06073007002,0.5396841046483993,0.46031589535160067,0.9082106738933378,0.09178932610666227,0.8130898372314896,0.18691016276851036,0.7541712690964698,0.24582873090353025,0.25736190067073483,0.7426380993292652,0.6826181982530455,0.3173818017469545,0.6693256041723162,0.3306743958276837,0.914038467523224,0.08596153247677596,0.7158754986803464,0.28412450131965356,0.6852916198008168,0.31470838019918324,0.30562518370328245,0.6943748162967176,0.7504192876995551,0.24958071230044485
San Diego County,06073007100,0.5110230146512184,0.4889769853487814,0.9013594149335199,0.09864058506648005,0.8149397559584785,0.18506024404152155,0.7547741500314913,0.24522584996850866,0.261473410546796,0.7385265894532039,0.678205079211554,0.321794920788446,0.597066771889936,0.40293322811006393,0.9144135319311149,0.08558646806888512,0.7115008619070659,0.2884991380929342,0.6878323549535129,0.3121676450464871,0.30136563396228344,0.6986343660377166,0.7547588264279559,0.24524117357204406
San Diego County,06073007200,0.5806645399491823,0.4193354600508177,0.8986172485515689,0.10138275144843109,0.8172626082725297,0.18273739172747025,0.7596022017383595,0.24039779826164048,0.2595769314102337,0.7404230685897664,0.6745257733514255,0.32547422664857456,0.5868979614411444,0.4131020385588556,0.9106522574591467,0.08934774254085329,0.7134940592751985,0.28650594072480157,0.6880100043790499,0.31198999562095014,0.3091183242165756,0.6908816757834244,0.750672199862916,0.24932780013708394
San Diego County,06073007302,0.643026697356507,0.3569733026434928,0.9060761399479704,0.09392386005202953,0.8122539410020293,0.18774605899797076,0.7547789563458341,0.2452210436541659,0.262386989347663,0.737613010652337,0.6808132036146285,0.3191867963853715,0.667218325774813,0.3327816742251868,0.9122650223181691,0.08773497768183089,0.7156375280390934,0.28436247196090664,0.6888430881310758,0.3111569118689242,0.3023395839328531,0.6976604160671469,0.756505930844807,0.24349406915519306
San Diego County,06073007303,0.7517626537371259,0.24823734626287405,0.9039963394061162,0.09600366059388375,0.8171009638681561,0.18289903613184388,0.7558563889673111,0.24414361103268895,0.25922506342028,0.7407749365797199,0.6887150569635347,0.3112849430364653,0.79217490153379,0.20782509846620997,0.9116036014697733,0.08839639853022672,0.7216015459219772,0.27839845407802283,0.6893420960382521,0.3106579039617479,0.3048861775487584,0.6951138224512416,0.7738337055207443,0.22616629447925568
San Diego County,06073007304,0.746069603685953,0.25393039631404696,0.9052024857020897,0.09479751429791024,0.8202774955034569,0.17972250449654317,0.755334046858207,0.2446659531417929,0.26255753841534696,0.7374424615846531,0.6873663729706083,0.3126336270293917,0.7947996163147398,0.20520038368526003,0.9125601653266241,0.08743983467337586,0.723126283348816,0.276873716651184,0.6896343645234042,0.3103656354765958,0.3068222043797482,0.6931777956202517,0.7745532254405337,0.22544677455946627
